app_id,app_type,developer,publisher,supported_systems,release_date,rating_percent,reviews_count,tags,categories,hardware_categories,accessibility_categories,price_usd_current,price_usd_lowest,price_eur_current,price_eur_lowest,price_cis_current,price_cis_lowest
1549970,Game,Cold Iron Studios,Cold Iron Studios | Focus Entertainment,Windows,24 August 2021 – 04:00:00 UTC,78.31,26181,Co-op | Shooter | Aliens | Action | Horror | Third-Person Shooter | Character Customization | Online Co-Op | Sci-fi | Survival | Space | Survival Horror | Atmospheric | RPG | Third Person | Multiplayer | PvE | Singleplayer | Controller | Co-op Campaign,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Cloud | Family Sharing | Multi-player | Co-op,Full Controller Support | DualShock Controllers (USB Only),,$29.99,-80%$5.99,"29,99€","-80%5,99€",$22.99,-80%$4.59
39120,Game,gamigo US Inc.,gamigo US Inc.,Windows,1 March 2011 – 18:00:00 UTC,72.66,11483,Free to Play | MMORPG | RPG | Fantasy | Open World | Old School | Massively Multiplayer | Nostalgia | Multiplayer | Adventure | Action | Character Customization | Co-op | PvP | Online Co-Op | Magic | Crafting | 3D | Third Person | Survival,MMO | Online PvP | Online Co-op | Steam Trading Cards | In-App Purchases | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),,,N/A,$4.99,N/A,N/A,N/A,N/A
745920,Game,Crema,Humble Games,Windows,6 September 2022 – 16:05:00 UTC,80.21,39181,Co-op | Multiplayer | Creature Collector | Turn-Based Combat | RPG | Story Rich | Adventure | PvE | PvP | Turn-Based Tactics | MMORPG | Character Customization | Cartoony | Collectathon | Anime | JRPG | Exploration | 3D | Colorful | Cute,MMO | Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Remote Play on TV | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support | Native Steam Controller | DualShock Controllers (USB Only) | DualShock Controllers | DualSense Controllers (USB Only) | DualSense Controllers,Camera Comfort | Custom Volume Controls | Stereo Sound | Keyboard Only Option | Mouse Only Option | Touch Only Option | Save Anytime,$44.99,-80%$8.99,"44,99€","-80%8,99€",$22.49,-80%$4.49
1509960,Game,TECOPARK,TECOPARK,Windows,7 May 2021 – 10:13:29 UTC,88.93,29465,Multiplayer | Online Co-Op | Co-op | Puzzle Platformer | Local Co-Op | Casual | Cute | Local Multiplayer | Platformer | 2D | Action | Pixel Graphics | Funny | Puzzle | Party Game | Indie | Retro | Difficult | Horror | Souls-like,Online Co-op | Shared/Split Screen Co-op | Family Sharing | Multi-player | Co-op | Shared/Split Screen,,,$4.99,-30%$3.49,"3,99€","-30%2,79€",$3.29,-30%$2.30
295270,Game,Sports Interactive,SEGA,Windows | Linux,,,,Sports | Football (American) | Football (Soccer) | Simulation | Management | Strategy | Multiplayer | Singleplayer,Single-player | Multi-player | Steam Achievements | Steam Leaderboards | Steam Cloud | Steam Workshop,,,N/A,$16.57,N/A,"16,57€",N/A,-66%$9.17
447020,Game,GIANTS Software,GIANTS Software,Windows,24 October 2016 – 21:56:00 UTC,91.42,25526,Farming Sim | Simulation | Automobile Sim | Multiplayer | Agriculture | Open World | Realistic | Economy | Driving | Moddable | Singleplayer | Management | First-Person | Co-op | Online Co-Op | Family Friendly | Third Person | Sandbox | Strategy | Great Soundtrack,Single-player | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on TV | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support,,$14.99,-60%$5.99,"12,49€","-60%4,99€",$10.49,-60%$4.19
550650,Game,VALOFE | NS STUDIO,VALOFE,Windows,26 June 2019 – 14:35:00 UTC,74.99,81445,Free to Play | FPS | Shooter | Multiplayer | Action | Early Access | First-Person | Military | Singleplayer | PvP | Co-op | War | Tactical | Massively Multiplayer | Team-Based | Violent | Open World | Strategy | Gore | Adventure,Steam Achievements | Steam Trading Cards | In-App Purchases | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA) | Family Sharing,,,,,,,,
648350,Game,Frontier Developments,Frontier Developments,Windows,12 June 2018 – 06:32:54 UTC,85.97,54792,Building | Dinosaurs | Simulation | Management | Strategy | Sandbox | Singleplayer | City Builder | Economy | Sci-fi | Resource Management | Open World | Atmospheric | Violent | Action | Multiplayer | Great Soundtrack | Survival | Casual | Adventure,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on TV | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support,,$44.99,-90%$4.49,"44,99€","-90%4,49€",$43.99,-90%$4.39
1337520,Game,Hopoo Games,Gearbox Publishing,Windows,8 November 2023 – 18:55:36 UTC,88.13,28411,Action Roguelike | Online Co-Op | Multiplayer | 2D | PvE | Local Co-Op | Looter Shooter | Sci-fi | Action | Controller | Arcade | Space | Roguelike | Loot | Class-Based | Pixel Graphics | Co-op | Atmospheric | Singleplayer | Combat,Single-player | Online Co-op | Shared/Split Screen Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play Together | Family Sharing | Multi-player | Co-op | Shared/Split Screen,Full Controller Support,Adjustable Text Size | Subtitle Options | Color Alternatives | Camera Comfort | Custom Volume Controls | Stereo Sound | Playable without Timed Input | Keyboard Only Option | Adjustable Difficulty,$14.99,-35%$9.74,"14,99€","-35%9,74€",$8.49,-35%$5.51
1928980,Game,Inflexion Games,Inflexion Games,Windows,20 February 2024 – 16:55:00 UTC,66.08,17481,Open World Survival Craft | Survival | Multiplayer | Open World | Online Co-Op | Building | Crafting | Co-op | Base Building | Exploration | Adventure | RPG | First-Person | Action | Singleplayer | PvE | Fantasy | Realistic | Procedural Generation | Horror,Single-player | Online Co-op | LAN Co-op | Steam Achievements | Steam Cloud | Family Sharing | Early Access | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),DualSense Controllers (USB Only) | Partial Controller Support,,$29.99,-50%$14.99,"28,99€","-50%14,49€",$14.49,-50%$7.24
55230,Game,Volition,Deep Silver,Windows | Linux,15 November 2011 – 05:00:00 UTC,94.06,69159,Open World | Action | Comedy | Co-op | Third-Person Shooter | Funny | Character Customization | Sandbox | Third Person | Online Co-Op | Singleplayer | Great Soundtrack | Multiplayer | Crime | Shooter | Female Protagonist | Adventure | Satire | Zombies | RPG,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Phone | Remote Play on Tablet | Family Sharing | Co-op | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),Full Controller Support,,$9.99,-80%$1.99,"9,99€","-80%1,99€",$7.99,-80%$1.39
