name,developer,publisher,release_date,tags,categories,rating_percent,reviews_count,price,current_players,24h_peak,all_time_peak
Thief,Eidos-Montréal | Feral Interactive (Mac),Eidos Interactive Corp. | Feral Interactive (Mac),28.02.2014,Stealth | Action | First-Person | Adventure | Singleplayer | Dark | Reboot | Steampunk | Atmospheric | Horror | Parkour | Open World | Assassin | Heist | Medieval | Nudity | RPG | Fantasy | FPS | Remake,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Steam Leaderboards | Remote Play on TV | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),73.35,23663.0,2.99,42,119,18352
Trials of Mana,Square Enix,Square Enix,24.04.2020,RPG | JRPG | Anime | Action RPG | Remake | Fantasy | Singleplayer | Adventure | Action | Hack and Slash | Story Rich | Great Soundtrack | Female Protagonist | Character Customization | Classic | Party-Based RPG | Cute | Third Person,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Tablet | Family Sharing,88.42,5615.0,19.99,42,78,11998
RAGE,id Software,Bethesda Softworks,04.10.2011,FPS | Post-apocalyptic | Action | Open World | Shooter | Singleplayer | First-Person | Racing | Sci-fi | Multiplayer | Co-op | Atmospheric | Gore | Adventure | RPG | Horror | Crafting | Survival | Linear | Online Co-Op,Single-player | Steam Achievements | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),76.29,17958.0,2.49,40,97,18059
Battlerite,Stunlock Studios,Stunlock Studios,08.11.2017,PvP | Multiplayer | MOBA | Competitive | Action | Free to Play | Arena Shooter | Fast-Paced | Team-Based | Fighting | Top-Down | Early Access | Strategy | eSports | Difficult | Great Soundtrack | RPG | Top-Down Shooter | Hack and Slash | Atmospheric,Single-player | Online PvP | In-App Purchases | Steam Cloud | Multi-player | PvP,83.35,59270.0,0.0,40,74,45145
DRAGON QUEST® XI: Echoes of an Elusive Age™,Square Enix,Square Enix,04.09.2018,JRPG | RPG | Turn-Based Combat | Singleplayer | Fantasy | Anime | Story Rich | Adventure | Turn-Based | Open World | Great Soundtrack | Action | Colorful | Funny | Cartoony | Character Customization | Third Person | Dragons | Crafting | Party-Based RPG,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on Tablet | Remote Play on TV | Family Sharing,83.31,8908.0,29.99,40,60,11793
F1 2020,Codemasters,Codemasters | Electronic Arts,09.07.2020,Racing | Simulation | Sports | Multiplayer | Automobile Sim | Split Screen | Difficult | Driving | Realistic | Management | Singleplayer | Strategy | Controller | VR | Local Multiplayer | Arcade,Single-player | Online PvP | Steam Achievements | Steam Workshop | In-App Purchases | Steam Cloud | Steam Leaderboards | Remote Play on Tablet | Remote Play on TV | Family Sharing | Multi-player | PvP,91.79,40034.0,14.99,40,142,24010
NBA 2K17,Visual Concepts,2K,20.09.2016,Basketball | Sports | Multiplayer | Simulation | Singleplayer | Realistic | Action | Character Customization | Family Friendly | Great Soundtrack | Controller | Gambling,Single-player | Steam Achievements | Steam Cloud | Remote Play on TV | Remote Play Together | Family Sharing | Multi-player | Shared/Split Screen,53.41,8789.0,14.99,39,88,14905
Century: Age of Ashes,Playwing LTD,Playwing LTD,02.12.2021,Free to Play | Dragons | Multiplayer | Action | Team-Based | Flight | PvP | Indie | Third Person | Hero Shooter | Fantasy | Shooter | Arena Shooter | Online Co-Op | Dark Fantasy | Character Customization | Mythology | Third-Person Shooter | Spectacle fighter | Early Access,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Multi-player | PvP | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),73.06,18067.0,0.0,39,102,12222
俠之道(PathOfWuxia),香港商河洛互動娛樂股份有限公司,香港商河洛互動娛樂股份有限公司,15.11.2022,RPG | Indie | Martial Arts | Turn-Based | Time Management | Turn-Based Combat | Female Protagonist | Choices Matter | Dating Sim | Anime | Character Customization | Simulation | Early Access | Story Rich,Single-player | Steam Achievements | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),77.04,30307.0,13.49,39,113,16175
SUPER PEOPLE,Wonder People,Wonder Games,09.10.2022,Battle Royale | Class-Based | Tactical | Shooter | Combat | Survival | Action | FPS | Massively Multiplayer | Third-Person Shooter | Hero Shooter | Superhero | PvP | Team-Based | Multiplayer | Third Person | First-Person | Realistic | Fast-Paced | War,Online PvP | Online Co-op | Early Access | Multi-player | PvP | Co-op,56.66,18274.0,14.99,39,121,47392
Daemon X Machina: Titanic Scion,Marvelous Inc.,"XSEED Games | Marvelous USA, Inc. | Marvelous Europe",05.09.2025,Mechs | Sci-fi | Open World | Hack and Slash | Exploration | Anime | Character Customization | Story Rich | Futuristic | PvE | Beat 'em up | Transhumanism | Loot | Combat | Action | Stylized | 3D | Third Person | Co-op | Dungeon Crawler,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Multi-player | Co-op,64.2,1882.0,48.99,39,51,10185
The Callisto Protocol,Striking Distance Studios,"KRAFTON, Inc.",02.12.2022,Horror | Sci-fi | Survival Horror | Third-Person Shooter | Space | Shooter | Third Person | Action-Adventure | PvE | Story Rich | Action | 3D | Linear | Realistic | Adventure | Robots | Cinematic | Dark | Futuristic | Singleplayer,Single-player | Steam Achievements | Steam Cloud | Family Sharing,64.59,42562.0,8.99,39,128,17580
情感反诈模拟器,前方工作室,前方工作室,19.06.2025,RPG | Story Rich | Dating Sim | Interactive Fiction | Drama | Strategy | Multiple Endings | FMV | Mystery | Choose Your Own Adventure | Strategy RPG | Romance | Visual Novel | Sexual Content | Lore-Rich | Third Person | Psychological | Emotional | Cinematic | Modern,Single-player | Steam Achievements | Steam Cloud | Family Sharing,78.9,50515.0,6.15,39,355,89127
Call of Duty: Ghosts - Multiplayer,Infinity Ward,,,Action | Dog,Single-player | Multi-player | Steam Achievements | Steam Leaderboards | Steam Cloud | Valve Anti-Cheat | Family Sharing,,,,38,91,37268
Creativerse,Playful Corp.,Playful Corp.,08.05.2017,Exploration | Sandbox | Voxel | Building | Crafting | Survival | Adventure | Open World Survival Craft | First-Person | Fantasy | Multiplayer | Indie | Family Friendly | Singleplayer | Online Co-Op | RPG | Action-Adventure | Open World | Third Person | Co-op,Single-player | Online PvP | LAN PvP | Online Co-op | LAN Co-op | Steam Trading Cards | Steam Workshop | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),76.33,30839.0,7.99,38,64,10929
F1 2021,Codemasters,Electronic Arts,15.07.2021,Racing | Driving | Sports | Immersive Sim | Automobile Sim | PvP | Controller | Split Screen | Simulation | eSports | 3D | Realistic | Multiplayer | VR | Co-op | Local Multiplayer | Cinematic | Online Co-Op | Singleplayer | Arcade,Single-player | Online PvP | Steam Achievements | Steam Workshop | In-App Purchases | Steam Cloud | Family Sharing | Multi-player | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),84.17,34967.0,14.99,38,130,25575
SWORD ART ONLINE Fractured Daydream,Dimps Corporation,Bandai Namco Entertainment,03.10.2024,Action | RPG | Multiplayer | Action RPG | Anime | Casual | Online Co-Op | Singleplayer | Hack and Slash | Third-Person Shooter | 3D | Fantasy | Swordplay | Magic | Story Rich | Character Customization | PvE | MMORPG | JRPG | Co-op,Single-player | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | In-App Purchases | Steam Cloud | Family Sharing | Multi-player | Co-op,63.89,2732.0,29.99,38,96,12290
Shadow Warrior 2,Flying Wild Hog,Devolver Digital,13.10.2016,Action | Gore | Looter Shooter | FPS | Co-op | Multiplayer | Ninja | Hack and Slash | Shooter | Swordplay | First-Person | Comedy | Open World | Demons | Singleplayer | Loot | Funny | Adventure | Parkour | Memes,Single-player | Online Co-op | Steam Achievements | Steam Trading Cards | Steam Cloud | Remote Play on TV | Family Sharing | Co-op | Multi-player | Cloud Gaming | Cloud Gaming (NVIDIA),85.47,27803.0,2.99,37,70,12634
Apocalypse Party,Breaker Games,Breaker Games | Kepler Ghost,01.12.2023,Casual | Singleplayer | Action Roguelike | Online Co-Op | Top-Down Shooter | Bullet Hell | Roguelite | Shoot 'Em Up | Roguelike | Zombies | Top-Down | Cartoony | 3D | Strategy | Co-op | Vampire | Multiplayer | Funny | Action | Dark Humor,Single-player | Online Co-op | Steam Achievements | Steam Cloud | Family Sharing | Multi-player | Co-op | Cloud Gaming | Cloud Gaming (NVIDIA),71.87,5333.0,4.99,37,118,12972
Rising Storm/Red Orchestra 2 Multiplayer,Tripwire Interactive,Tripwire Interactive,13.09.2011,World War II | Realistic | Multiplayer | FPS | Wargame | First-Person | Historical | Team-Based | War | Immersive Sim | Action | Tactical | Shooter | Military | Immersive | Simulation | Atmospheric | Singleplayer | Gore | Tanks,Online PvP | Steam Achievements | Steam Trading Cards | Steam Workshop | Stats | Includes level editor | Family Sharing | Multi-player | Valve Anti-Cheat | PvP,90.66,38001.0,2.99,36,196,16551
RAGE 2,id Software | Avalanche Studios,Bethesda Softworks,14.05.2019,Action | FPS | Open World | Post-apocalyptic | Vehicular Combat | Automobile Sim | Singleplayer | Gore | Shooter | Violent | First-Person | Multiplayer | Blood | Exploration | Funny | Sci-fi | Adventure | Cyberpunk | Racing | Sandbox,Single-player | Steam Achievements | Captions available | In-App Purchases | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),62.44,16760.0,7.99,36,88,13673
Project Winter,Other Ocean Interactive,Other Ocean Group,23.05.2019,Team-Based | Snow | PvP | Exploration | Adventure | Crafting | Stylized | Controller | Social Deduction | Multiplayer | Survival | PvE | Colorful | Strategy | Funny | Atmospheric | Investigation | Action-Adventure | Action | Casual,Online PvP | Online Co-op | Cross-Platform Multiplayer | Steam Achievements | Steam Trading Cards | In-App Purchases | Steam Cloud | Family Sharing | Multi-player | Co-op | PvP | Cloud Gaming | Cloud Gaming (NVIDIA),80.9,19077.0,1.99,36,59,38794
HITMAN™,IO Interactive A/S | Feral Interactive (Linux) | Feral Interactive (Mac),IO Interactive A/S | Feral Interactive (Linux) | Feral Interactive (Mac),11.03.2016,Stealth | Action | Assassin | Third Person | Singleplayer | Tactical | Shooter | Open World | Atmospheric | Crime | Sandbox | Strategy | Story Rich | Episodic | Third-Person Shooter | Great Soundtrack | Adventure | Heist | Illuminati | Nudity,Single-player | Steam Achievements | Steam Trading Cards | Steam Cloud | Family Sharing | Cloud Gaming | Cloud Gaming (NVIDIA),81.87,37183.0,7.49,35,85,51650
